Client ID;Name;Age;Gender;Region;Service Type;Service Description;Start Date;End Date;Duration (days);Service Cost;Financial Aid;Status;Feedback
1001;Zineb Bouhadi;45;M;El Jadida;Medical Aid;Medical Aid - Contain deep food summer.;2025-05-06;2025-05-30;24;185805;68033;Pending;5/5
1001;Zineb Bouhadi;45;M;El Jadida;Cultural Access;Cultural Access - Marriage realize imagine.;2025-06-27;2025-07-22;25;47691;36361;Ongoing;3/5
1001;Zineb Bouhadi;45;M;El Jadida;Education Support;Education Support - Fall yard when although age.;2025-05-10;2025-09-13;126;19010;9119;Rejected;5/5
1001;Zineb Bouhadi;45;M;El Jadida;Travel & Leisure;Travel & Leisure - Born together real despite sometimes.;2024-11-11;2025-03-16;125;28860;14414;Ongoing;3/5
1002;Abdelilah El Fassi;45;M;Meknès;Travel & Leisure;Travel & Leisure - Fact final pretty parent beyond.;2025-02-28;2025-06-19;111;254705;110765;Pending;3/5
1002;Abdelilah El Fassi;45;M;Meknès;Travel & Leisure;Travel & Leisure - Staff lot compare.;2024-11-10;2025-03-11;121;296292;105541;Pending;5/5
1002;Abdelilah El Fassi;45;M;Meknès;Medical Aid;Medical Aid - Military stand direction pull.;2025-03-26;2025-04-05;10;325798;124424;Ongoing;3/5
1003;Said Amrani;36;M;Casablanca;Education Support;Education Support - Better business enter.;2025-05-15;2025-09-21;129;122767;47718;Completed;4/5
1003;Said Amrani;36;M;Casablanca;Education Support;Education Support - East would she live.;2025-03-25;2025-06-27;94;7610;4761;Rejected;5/5
1003;Said Amrani;36;M;Casablanca;Medical Aid;Medical Aid - Window few up man protect.;2025-05-11;2025-10-16;158;423164;330731;Pending;5/5
1004;Anas Amrani;35;F;Kénitra;Housing Finance;Housing Finance - Himself general get risk.;2025-05-19;2025-10-21;155;281201;117122;Completed;N/A
1004;Anas Amrani;35;F;Kénitra;Medical Aid;Medical Aid - End environmental purpose mission.;2024-09-02;2025-02-15;166;440296;344776;Ongoing;N/A
1004;Anas Amrani;35;F;Kénitra;Housing Finance;Housing Finance - Still hit television.;2024-07-16;2024-08-10;25;274995;177544;Rejected;5/5
1004;Anas Amrani;35;F;Kénitra;Cultural Access;Cultural Access - With also use actually note.;2025-03-24;2025-06-29;97;9746;4062;Completed;5/5
1005;Hamza Bennani;48;M;Oujda;Cultural Access;Cultural Access - Of look keep trip.;2024-07-19;2025-01-05;170;174742;54481;Ongoing;3/5
1005;Hamza Bennani;48;M;Oujda;Housing Finance;Housing Finance - Risk quite arrive.;2025-05-29;2025-11-24;179;186019;119657;Completed;N/A
1005;Hamza Bennani;48;M;Oujda;Medical Aid;Medical Aid - While listen follow above staff.;2025-03-14;2025-08-04;143;117626;62490;Completed;3/5
1006;Nadia Berrada;26;F;Oujda;Travel & Leisure;Travel & Leisure - Will eight.;2025-04-07;2025-09-26;172;5981;5120;Rejected;3/5
1006;Nadia Berrada;26;F;Oujda;Travel & Leisure;Travel & Leisure - Seat run.;2025-04-01;2025-09-28;180;280889;247978;Completed;5/5
1006;Nadia Berrada;26;F;Oujda;Sports Program;Sports Program - And here week address pull.;2025-03-25;2025-06-21;88;32144;14486;Ongoing;4/5
1007;Nadia Hajji;44;F;Safi;Education Support;Education Support - Ready religious similar science.;2024-11-11;2024-11-24;13;316234;232021;Pending;N/A
1007;Nadia Hajji;44;F;Safi;Cultural Access;Cultural Access - Traditional forget record.;2024-12-03;2025-02-23;82;175041;144678;Rejected;5/5
1007;Nadia Hajji;44;F;Safi;Sports Program;Sports Program - Anything same stuff perhaps successful.;2025-01-14;2025-01-31;17;437449;289761;Pending;4/5
1007;Nadia Hajji;44;F;Safi;Medical Aid;Medical Aid - Brother process artist.;2025-06-30;2025-09-17;79;336273;139524;Rejected;5/5
1008;Abdelilah Amrani;49;M;Meknès;Sports Program;Sports Program - Want none toward care.;2024-10-29;2025-02-24;118;452116;245682;Completed;5/5
1008;Abdelilah Amrani;49;M;Meknès;Housing Finance;Housing Finance - Public good ball.;2024-07-31;2024-08-23;23;395501;143880;Completed;4/5
1008;Abdelilah Amrani;49;M;Meknès;Education Support;Education Support - Chance most capital cover buy.;2025-02-10;2025-05-09;88;61147;37139;Rejected;4/5
1009;Said Alaoui;44;M;Marrakech;Sports Program;Sports Program - Learn surface fear enjoy him.;2025-04-10;2025-08-01;113;2649;1287;Rejected;4/5
1009;Said Alaoui;44;M;Marrakech;Education Support;Education Support - Listen hour reach debate.;2025-03-06;2025-08-11;158;181126;117127;Pending;4/5
1009;Said Alaoui;44;M;Marrakech;Sports Program;Sports Program - Collection moment out thought.;2024-10-01;2024-10-14;13;36840;15310;Ongoing;3/5
1009;Said Alaoui;44;M;Marrakech;Cultural Access;Cultural Access - Radio here story international southern.;2024-08-04;2025-01-29;178;316065;226218;Pending;3/5
1010;Amina Berrada;23;F;Kénitra;Housing Finance;Housing Finance - Product look reflect Republican.;2024-08-09;2024-08-26;17;326609;225368;Ongoing;4/5
1010;Amina Berrada;23;F;Kénitra;Sports Program;Sports Program - Resource listen tough.;2025-04-17;2025-09-18;154;481496;274351;Rejected;3/5
1010;Amina Berrada;23;F;Kénitra;Sports Program;Sports Program - Factor whose exactly rock song.;2024-08-13;2024-09-23;41;148766;57015;Pending;4/5
1010;Amina Berrada;23;F;Kénitra;Medical Aid;Medical Aid - Scene style about.;2025-03-02;2025-07-08;128;342164;182565;Ongoing;N/A
1011;Said Hajji;33;M;Casablanca;Cultural Access;Cultural Access - List past everybody great.;2025-06-30;2025-07-29;29;479686;319631;Ongoing;4/5
1011;Said Hajji;33;M;Casablanca;Sports Program;Sports Program - Job bit.;2025-05-05;2025-05-28;23;98499;46752;Rejected;N/A
1011;Said Hajji;33;M;Casablanca;Medical Aid;Medical Aid - Economic base miss option.;2025-04-20;2025-06-24;65;483420;345210;Pending;N/A
1012;Omar Bennani;63;F;Tétouan;Sports Program;Sports Program - Star over son.;2024-08-18;2025-01-26;161;77883;31832;Ongoing;3/5
1012;Omar Bennani;63;F;Tétouan;Education Support;Education Support - Sport evening popular.;2025-03-28;2025-05-15;48;161432;84711;Completed;3/5
1012;Omar Bennani;63;F;Tétouan;Housing Finance;Housing Finance - Soldier choose term.;2024-12-19;2025-01-02;14;361636;227828;Rejected;3/5
1013;Nour Berrada;52;F;Fès;Housing Finance;Housing Finance - Really skin might.;2025-04-07;2025-07-14;98;423324;374824;Ongoing;4/5
1013;Nour Berrada;52;F;Fès;Sports Program;Sports Program - Amount car.;2025-02-17;2025-04-27;69;160729;54412;Rejected;N/A
1013;Nour Berrada;52;F;Fès;Travel & Leisure;Travel & Leisure - Article benefit argue.;2025-02-14;2025-06-17;123;26696;22504;Rejected;5/5
1013;Nour Berrada;52;F;Fès;Housing Finance;Housing Finance - Mr small someone especially senior.;2024-08-17;2024-10-16;60;436549;330922;Completed;4/5
